gene_symb,omim_id,pubmed_id
HBE1,142100,6897566
HBEGF,126150,21946538
HBEGF,126150,690129
HBEGF,126150,1056028
HBEGF,126150,8347598
HBEGF,126150,601683
HBEGF,126150,277932
HBEGF,126150,3436221
HBEGF,126150,1840698
HBEGF,126150,1556128
HBEGF,126150,1606612
HBEGF,126150,20040
HBEGF,126150,4202002
HBEGF,126150,7590736
HBEGF,126150,6445830
HBEGF,126150,16778986
HBEGF,126150,17986609
HBG1,142200,1138921
HBG1,142200,5491586
HBG1,142200,2411679
HBG1,142200,2454900
HBG1,142200,7018693
HBG1,142200,1379347
HBG1,142200,2469505
HBG1,142200,6188719
HBG1,142200,7615401
HBG1,142200,318162
HBG1,142200,2419280
HBG1,142200,2581920
HBG1,142200,2417989
HBG1,142200,2578620
HBG1,142200,2224140
HBG1,142200,93972
HBG1,142200,1990287
HBG1,142200,11856732
HBG1,142200,450109
HBG1,142200,1698280
HBG1,142200,2423160
HBG1,142200,3377986
HBG1,142200,1374633
HBG1,142200,6200877
HBG1,142200,8718701
HBG1,142200,1373683
HBG1,142200,2467893
HBG1,142200,2423158
HBG1,142200,2448268
HBG1,142200,2441598
HBG1,142200,6160889
HBG1,142200,1802881
HBG1,142200,2412945
HBG1,142200,4676910
HBG1,142200,6174873
HBG1,142200,509514
HBG1,142200,6019034
HBG1,142200,4741849
HBG1,142200,2442092
HBG1,142200,6201065
HBG1,142200,10819032
HBG1,142200,15148375
HBG1,142200,3401591
HBG1,142200,1487421
HBG1,142200,2448269
HBG1,142200,2276623
HBG1,142200,26816381
HBG1,142200,3479779
HBG1,142200,2412617
HBG1,142200,6186637
HBG1,142200,6199326
HBG1,142200,6198905
HBG1,142200,6183236
HBG1,142200,11971871
HBG1,142200,14506128
HBG1,142200,1704803
HBG1,142200,2452784
HBG1,142200,6184621
HBG1,142200,6183666
HBG1,142200,9703422
HBG1,142200,6248872
HBG1,142200,15666429
HBG1,142200,3033668
HBG1,142200,7928382
HBG1,142200,1714434
HBG1,142200,1703137
HBG1,142200,939551
HBG1,142200,2451123
HBG1,142200,11069298
HBG1,142200,6038320
HBG1,142200,291015
HBG1,142200,4455303
HBG1,142200,7332928
HBG1,142200,7438203
HBG1,142200,2421362
HBG1,142200,3181130
HBG1,142200,2430647
HBG1,142200,1726097
HBG1,142200,3766541
HBG1,142200,461196
HBG1,142200,2417646
HBG1,142200,2420697
HBG1,142200,6197997
HBG1,142200,1283810
HBG1,142200,811241
HBG1,142200,6187772
HBG1,142200,6175602
HBG2,142250,7558873
HBG2,142250,836882
HBG2,142250,4846278
HBG2,142250,4429671
HBG2,142250,7615401
HBG2,142250,5792729
HBG2,142250,1726098
HBG2,142250,2581919
HBG2,142250,2417990
HBG2,142250,18443038
HBG2,142250,10722116
HBG2,142250,6208955
HBG2,142250,6205403
HBG2,142250,6153796
HBG2,142250,7687855
HBG2,142250,21561349
HBG2,142250,19065339
HBG2,142250,8718700
HBG2,142250,2459082
HBG2,142250,2435680
HBG2,142250,3401603
HBG2,142250,7852085
HBG2,142250,11856732
HBG2,142250,6155216
HBG2,142250,1698280
HBG2,142250,21057501
HBG2,142250,11822023
HBG2,142250,2483933
HBG2,142250,2470018
HBG2,142250,8718701
HBG2,142250,1703139
HBG2,142250,6158500
HBG2,142250,2430914
HBG2,142250,6814491
HBG2,142250,2420748
HBG2,142250,2441598
HBG2,142250,5050916
HBG2,142250,2442122
HBG2,142250,7741137
HBG2,142250,2442123
HBG2,142250,2459083
HBG2,142250,2580306
HBG2,142250,1127124
HBG2,142250,18667698
HBG2,142250,4837284
HBG2,142250,10722114
HBG2,142250,29610478
HBG2,142250,26816381
HBG2,142250,6155133
HBG2,142250,2450454
HBG2,142250,2432426
HBG2,142250,6192110
HBG2,142250,6186636
HBG2,142250,6206897
HBG2,142250,6172403
HBG2,142250,954089
HBG2,142250,8566966
HBG2,142250,1703138
HBG2,142250,7713741
HBG2,142250,1706691
HBG2,142250,7687241
HBG2,142250,12603090
HBG2,142250,2470017
HBG2,142250,1726095
HBG2,142250,5248810
HBG2,142250,6186522
HBG2,142250,6186635
HBG2,142250,6733050
HBG2,142250,6174945
HBG2,142250,8811323
HBG2,142250,10722115
HBG2,142250,2579547
HBG2,142250,10335983
HBM,609639,15855277
HBS1L,612450,10470851
HBS1L,612450,9872408
HCAR1,606923,11574155
HCAR1,606923,15177553
HCAR1,606923,12522134
HCCS,300056,23239471
HCCS,300056,16059943
HCCS,300056,12444108
HCCS,300056,8661044
HCCS,300056,9674913
HCCS,300056,17033964
HCFC1,300019,7721097
HCFC1,300019,8833156
HCFC1,300019,7829097
HCFC1,300019,1870093
HCFC1,300019,23000143
HCFC1,300019,24311690
HCFC1,300019,19855399
HCFC1,300019,12235138
HCFC1,300019,8392914
HCFC1,300019,7789979
HCFC1,300019,24011988
HCFC1,300019,8661027
HCK,142370,3496523
HCK,142370,12029088
HCK,142370,3453117
HCLS1,601306,8978766
HCLS1,601306,2587259
HCLS1,601306,15931393
HCN1,602780,29936235
HCN1,602780,12389030
HCN1,602780,30351409
HCN1,602780,24747641
HCN1,602780,15550252
HCN1,602780,14651847
HCN1,602780,21555075
HCN1,602780,9405696
HCN1,602780,9630217
HCN1,602780,19555649
HCN1,602780,11675786
HCN1,602780,11459060
HCN2,602781,20437590
HCN2,602781,21903816
HCN2,602781,10228147
HCN2,602781,9405696
HCN2,602781,9630217
HCN2,602781,11459060
HCN2,602781,12968185
HCN4,605206,22840528
HCN4,605206,9634235
HCN4,605206,10228147
HCN4,605206,16407510
HCN4,605206,25145517
HCN4,605206,17646576
HCN4,605206,12750403
HCN4,605206,20693575
HCN4,605206,25145518
HCN4,605206,10430953
HCN4,605206,11675786
HCN4,605206,14657344
HCN4,605206,19165230
HCN4,605206,15123648
HCN4,605206,27173043
HCP5,604676,7894158
HCP5,604676,19483685
HCP5,604676,10199916
HCP5,604676,18369459
HCP5,604676,8462994
HCRT,602358,17943086
HCRT,602358,15623725
HCRT,602358,16135770
HCRT,602358,16357203
HCRT,602358,17259994
HCRT,602358,10481909
HCRT,602358,16247044
HCRT,602358,11425946
HCRT,602358,9419374
HCRT,602358,8710940
HCRT,602358,11148249
HCRT,602358,10485925
HCRT,602358,11394998
HCRT,602358,11723284
HCRT,602358,20037593
HCRT,602358,19779148
HCRT,602358,10624957
HCRT,602358,14527439
HCRT,602358,10458611
HCRT,602358,11161808
HCRT,602358,10615891
HCRT,602358,10471483
HCRT,602358,15525658
HCRT,602358,10973318
HCRT,602358,11756606
HCRT,602358,9491897
HCRT,602358,10481905
HCRT,602358,18006690
HCRT,602358,19956259
HCRT,602358,11055430
HCRTR1,602392,9491897
HCRTR1,602392,18006690
HCRTR2,602393,16801656
HCRTR2,602393,10481909
HCRTR2,602393,10458611
HCRTR2,602393,10471483
HCRTR2,602393,9878239
HCRTR2,602393,15477554
HCRTR2,602393,9491897
HCRTR2,602393,16554494
HCRTR2,602393,10430668
HDAC1,601241,8114086
HDAC1,601241,8646880
HDAC1,601241,18806873
HDAC1,601241,9486655
HDAC1,601241,19729656
HDAC1,601241,12493763
HDAC1,601241,8422685
HDAC1,601241,9486654
HDAC1,601241,22318606
HDAC1,601241,11099047
HDAC1,601241,9468140
HDAC1,601241,17639084
HDAC1,601241,19380719
HDAC1,601241,19252524
HDAC1,601241,14645718
HDAC1,601241,16762839
HDAC1,601241,21368826
HDAC1,601241,12459580
HDAC1,601241,8602529
HDAC1,601241,1944291
HDAC1,601241,1944290
HDAC1,601241,11257101
HDAC1,601241,8602525
HDAC1,601241,15870198
HDAC1,601241,9651585
HDAC1,601241,11931769
HDAC3,605166,19037247
HDAC3,605166,24185009
HDAC3,605166,12150997
HDAC3,605166,18406327
HDAC3,605166,11533489
HDAC3,605166,9464271
HDAC3,605166,9501169
HDAC3,605166,28614293
HDAC3,605166,12479814
HDAC3,605166,21393543
HDAC3,605166,11804585
HDAC3,605166,18326024
HDAC3,605166,31604271
HDAC3,605166,10051405
HDAC3,605166,25915022
HDAC3,605166,32760002
HDAC3,605166,9722949
HDAC3,605166,21808063
HDAC3,605166,16432238
HDAC3,605166,22230954
HDAC3,605166,9346952
HDAC3,605166,11931768
HDAC3,605166,15805470
HDAC3,605166,26044300
HDAC4,605314,19131628
HDAC4,605314,11804585
HDAC4,605314,10206986
HDAC4,605314,10220385
HDAC4,605314,9150131
HDAC4,605314,17159145
HDAC4,605314,21368826
HDAC4,605314,22318228
HDAC4,605314,16828749
HDAC4,605314,16332688
HDAC4,605314,15537544
HDAC4,605314,23188045
HDAC4,605314,10523670
HDAC4,605314,24715439
HDAC4,605314,20691407
HDAC4,605314,9139815
HDAC4,605314,10825153
HDAC6,300272,25342804
HDAC6,300272,15347674
HDAC6,300272,16001442
HDAC6,300272,10220385
HDAC6,300272,12024216
HDAC6,300272,14675537
HDAC6,300272,15916966
HDAC6,300272,18079183
HDAC6,300272,11474198
HDAC6,300272,10048485
HDAC6,300272,17568747
HDAC6,300272,17604723
HDAC6,300272,20181727
HDAC6,300272,23284848
HDAC8,300269,10926844
HDAC8,300269,22885700
HDAC8,300269,22889856
HDAC8,300269,10748112
HDAC8,300269,10922473
HDAC8,300269,15477595
HDAC9,606543,15711539
HDAC9,606543,9872452
HDAC9,606543,10487760
HDAC9,606543,10825153
HDAC9,606543,11535832
HDC,142704,1487235
HDC,142704,24411733
HDC,142704,15305873
HDC,142704,20445167
HDC,142704,12716972
HDC,142704,23825391
HDC,142704,22767596
HDC,142704,12421355
HDC,142704,8786082
HDC,142704,6497830
HDC,142704,11478947
HDC,142704,7851890
HDC,142704,8288622
HDC,142704,8530524
HDC,142704,1768863
HDLBP,142695,8681952
HDLBP,142695,7829095
HDLBP,142695,8168838
HDLBP,142695,8390966
HEATR3,614951,23118189
HELB,614539,22194613
HELB,614539,11557815
HELB,614539,12181327
HELLPAR,614985,23093777
HELLS,603946,21596365
HELLS,603946,17115026
HELLS,603946,11711429
HELLS,603946,9878251
HELLS,603946,10781083
HELLS,603946,8647447
HELLS,603946,29339483
HELLS,603946,10910076
HELLS,603946,25823553
HELLS,603946,15105378
HELLS,603946,26216346
HELLS,603946,30307408
HELLS,603946,17726103
HELLS,603946,14517253
HELLS,603946,16395332
HELQ,606769,24005329
HELQ,606769,12794064
HELQ,606769,11751861
HELZ,606699,7584044
HELZ,606699,10471385
HELZ2,611265,11214970
HELZ2,611265,12189208
HELZ2,611265,16239304
HENMT1,612178,20558712
HENMT1,612178,18463630
HEPACAM,611642,18293412
HEPACAM,611642,22328087
HEPACAM,611642,21419380
HEPACAM,611642,21624973
HEPACAM,611642,15885354
HEPACAM,611642,15917256
HEPACAM,611642,24824219
HEPACAM,611642,20517947
HEPACAM2,614133,19358830
HERC1,605109,27108999
HERC1,605109,25746226
HERC1,605109,16464865
HERC1,605109,10516438
HERC1,605109,20041218
HERC1,605109,26153217
HERC1,605109,26138117
HERC1,605109,9233772
HERC1,605109,8861955
HERC1,605109,27147983
HERC2,605837,20023648
HERC2,605837,22065085
HERC2,605837,17236130
HERC2,605837,18172690
HERC2,605837,23243086
HERC2,605837,9949213
HERC2,605837,18252221
HERC2,605837,21493713
HERC2,605837,9689098
HERC2,605837,1495987
HERC2,605837,9205841
HERC2,605837,23065719
HERC2,605837,18252222
HERC2,605837,17952075
HERC2,605837,22234890
HERC2,605837,20631078
HES6,610331,10851137
HES6,610331,11551980
HES6,610331,12972610
HES6,610331,15896295
HES7,608059,11260262
HES7,608059,31915384
HES7,608059,15170214
HES7,608059,32238941
HES7,608059,23897666
HES7,608059,18775957
HES7,608059,20087400
HES7,608059,27560986
HES7,608059,31915376
HESX1,601802,11748154
HESX1,601802,14561704
HESX1,601802,14557462
HESX1,601802,9620767
HESX1,601802,8565852
HESX1,601802,17148560
HESX1,601802,16940453
HESX1,601802,12519827
HESX1,601802,8939602
HESX1,601802,11136712
HESX1,601802,8696006
HEXA,606869,1415222
HEXA,606869,1301190
HEXA,606869,1301938
HEXA,606869,8444467
HEXA,606869,1837283
HEXA,606869,8490625
HEXA,606869,3362213
HEXA,606869,808963
HEXA,606869,1996872
HEXA,606869,8328462
HEXA,606869,62363
HEXA,606869,341373
HEXA,606869,8198136
HEXA,606869,1577470
HEXA,606869,8757036
HEXA,606869,1832817
HEXA,606869,8257995
HEXA,606869,1322637
HEXA,606869,9272736
HEXA,606869,1302612
HEXA,606869,3198122
HEXA,606869,14727180
HEXA,606869,1054503
HEXA,606869,2521932
HEXA,606869,2976595
HEXA,606869,6211091
HEXA,606869,1483696
HEXA,606869,2220821
HEXA,606869,752530
HEXA,606869,8659543
HEXA,606869,2145759
HEXA,606869,14648242
HEXA,606869,2953646
HEXA,606869,803011
HEXA,606869,1269177
HEXA,606869,3013851
HEXA,606869,4524661
HEXA,606869,1387685
HEXA,606869,8326491
HEXA,606869,2531748
HEXA,606869,16698036
HEXA,606869,1307230
HEXA,606869,12180151
HEXA,606869,1827945
HEXA,606869,1532289
HEXA,606869,2848800
HEXA,606869,3754980
HEXA,606869,2824459
HEXA,606869,2933746
HEXA,606869,6236461
HEXA,606869,3375249
HEXA,606869,9090523
HEXA,606869,21937992
HEXA,606869,1829032
HEXA,606869,2970528
HEXA,606869,2141777
HEXA,606869,2278539
HEXA,606869,2522679
HEXA,606869,1825014
HEXA,606869,1830584
HEXA,606869,747190
HEXA,606869,18490185
HEXA,606869,2837213
HEXA,606869,2973464
HEXA,606869,2961848
HEXA,606869,2522660
HEXA,606869,2140574
HEXA,606869,1827944
HEXA,606869,8663217
HEXA,606869,6650504
HEXA,606869,9603435
HEXA,606869,6959123
HEXA,606869,2952641
HEXA,606869,2934978
HEXA,606869,1674729
HEXA,606869,1301958
HEXA,606869,9222766
HEXA,606869,5466454
HEXA,606869,2141199
HEXA,606869,14566483
HEXA,606869,2137287
HEXA,606869,2973311
HEXA,606869,2144098
HEXA,606869,7063277
HEXA,606869,8352284
HEXA,606869,8328470
HEXA,606869,1833974
HEXA,606869,2294750
HEXA,606869,1384323
HEXA,606869,1301189
HEXA,606869,1137344
HEXA,606869,1318511
HEXA,606869,15108204
HEXA,606869,8488832
HEXA,606869,2954459
HEXB,606873,8106452
HEXB,606873,1720305
HEXB,606873,2971567
HEXB,606873,808963
HEXB,606873,2921040
HEXB,606873,1975561
HEXB,606873,1487253
HEXB,606873,2948136
HEXB,606873,8357844
HEXB,606873,3014997
HEXB,606873,62363
HEXB,606873,7177110
HEXB,606873,2170400
HEXB,606873,868875
HEXB,606873,10982028
HEXB,606873,6323102
HEXB,606873,9888387
HEXB,606873,601683
HEXB,606873,752513
HEXB,606873,1054503
HEXB,606873,7557963
HEXB,606873,15459180
HEXB,606873,8045559
HEXB,606873,484551
HEXB,606873,9694901
HEXB,606873,8076944
HEXB,606873,18180457
HEXB,606873,6951199
HEXB,606873,1386607
HEXB,606873,2522450
HEXB,606873,9401004
HEXB,606873,2139865
HEXB,606873,3156493
HEXB,606873,2977375
HEXB,606873,2147027
HEXB,606873,2525553
HEXB,606873,747190
HEXB,606873,2579389
HEXB,606873,571983
HEXB,606873,8663217
HEXB,606873,2964638
HEXB,606873,8950198
HEXB,606873,2973515
HEXB,606873,17251047
HEXB,606873,4812950
HEXB,606873,1531140
HEXB,606873,10724
HEXB,606873,18758829
HEXB,606873,7633435
HEXD,616864,19040401
HEXD,616864,23099419
HEY1,602953,15107403
HEY1,602953,10403790
HEY1,602953,10415358
HEY1,602953,10860664
HEY2,604674,15107403
HEY2,604674,10415358
HEY2,604674,16329098
HEY2,604674,12454287
HEY2,604674,10860664
HEY2,604674,17468400
HEY2,604674,11700560
HEY2,604674,10710309
HFE,613609,11358905
HFE,613609,18199861
HFE,613609,15070663
